questionText,optionA,optionB,optionC,optionD,correctAnswer,difficulty,explanation,category
একটি উপকক্ষে সর্বোচ্চ ইলেকট্রন সংখ্যা হল-,(2l + 1),2(2l + 1),(2l +1)²,2(2l +1)²,A,Moderate,,Chemistry
ব্যাসার্ধের সঠিক ক্রম –,K+ < Cl– < S2- < Ca2+,K+ < S2- < Ca2+ < Cl–,S2- < Cl– < Ca2+ < K+,Cl– < Ca2+ < K+ < S2-,A,Moderate,,Chemistry
গ্যাসীয় ক্ষার ধাতুআয়নগুলির (Alkali Metal Ions) ক্ষেত্রে জলযোজন এনথ্যালপির (Hydration Enthalpy) সঠিক নিম্নক্রম (Decreasing Order) কোনটি?,Li⁺ > Na⁺ > K⁺ > Rb⁺ > Cs⁺,Cs⁺ > Rb⁺ > K⁺ > Na⁺ > Li⁺,Na⁺ > Li⁺ > K⁺ > Rb⁺ > Cs⁺,Li⁺ > K⁺ > Na⁺ > Cs⁺ > Rb⁺,A,Moderate,,Chemistry
"পরমাণরু বর্ণার্ণলি র (Atomic Spectra) ক্ষে ত্রে , যথাক্রমে 4র্থ শক্তি স্তর থে কে 2য় শক্তি স্তরে এবং 5ম শক্তি স্তর থে কে 3য় শক্তি স্তরে ইলে কট্রনে র স্থানান্তরে র ফলে উৎপন্ন বর্ণরের্ণরেখাগুলি ক োন বর্ণার্ণলি শ্রে ণি র (spectral series) অন্তর্গতর্গ ?",লাইম্যান (Lyman) এবং বালমার (Balmer),বালমার (Balmer) এবং প্যাশে ন (Paschen),প্যাশে ন (Paschen) এবং ব্র্যাকে ট (Brackett),ব্র্যাকে ট (Brackett) এবং ফুন্ড (Pfund),A,Moderate,,Chemistry
"একটি 100 W-এর বাল্ব 400 nm তরঙ্গদৈ র্ঘ্যে র একবর্ণী (Monochromatic) আল ো বি কি রণ করে । প্রতি সে কে ন্ডে বাল্বটি থে কে নি র্গতর্গ ফ োটনে র সংখ্যা প্রায় কত? (দে ওয়া আছে , h = 6.626 × 10⁻³⁴ J·s, c = 3 × 10⁸ m/s)",2.01 × 10²⁰,3.01 × 10¹⁹,2.01 × 10¹⁸,4.01 × 10²⁰,A,Moderate,,Chemistry
ক োনটি ভ্যান ডার ওয়ালস b এর একক ?,L^2 mol,L mol^-2,L mol,L mol^-1,A,Moderate,,Chemistry
3d ইলেকট্রনের চারটি কোয়ান্টাম সংখ্যার সবচেয়ে গ্রহণযোগ্য মান হলো-,"3, 2, 0, +1/2","3, 3, 0, +1/2","3, 3, 3, -1/2","3, 2, 0 , 0",A,Moderate,,Chemistry
24 পরমানুক্রমাঙ্কের সঠিক বিন্যাস হলো-,1s² 2s² 2p⁶ 3s² 3p⁶ 3d⁶,1s² 2s² 2p⁶ 3s² 3p⁶ 4s⁰ 3d⁶,1s² 2s² 2p⁶ 3s² 3p⁶ 4s² 3d⁴,1s² 2s² 2p⁶ 3s² 3p⁶ 4s¹ 3d⁵,A,Moderate,,Chemistry
"ভ্যান ডার ওয়ালস গ্যাসের ক্ষেত্রে Z=1, যখন",a = b,Rb/a,b/Ra,a/Rb,A,Moderate,,Chemistry
"0°C তাপমাত্রায় 4 g O₂ এবং 2 g H₂-এর একটি মিশ্রণকে 1 L আয়তনের একটি পাত্রে আবদ্ধ রাখা হয়েছে। মিশ্রণের মোট চাপ (atm-এ) কত হবে? [দেওয়া আছে, R = 0.082 L atm mol⁻¹ K⁻¹; T = 273 K]",2.518,2.602,25.18,26.02,A,Moderate,,Chemistry
জারণ ক্ষমতার সঠিক ক্রম হলো-,HCl < HBr < HI < HF,HCl < HBr < HF < HI,HI < HBr < HCl < HF,HBr < HCl < HI < HF,A,Moderate,,Chemistry
দ্বিতীয় আয়নন বিভবের সঠিক ক্রম –,C > N > O > F,O > N > F > C,O > F > N > C,F > O > N > C,A,Moderate,,Chemistry
"কোনো আদর্শ গ্যাসের চাপ P, উষ্ণতা T, আণবিক গুরুত্ব M, সার্বজনীন গ্যাস ধ্রুবক R হলে, ঘনত্ব হবে-",RT/PM,PM/RT,P/MRT,M/PRT,A,Moderate,,Chemistry
